Disaster_Type,District,Severity,Affected_Population,Affected_Households,Houses_Damaged,Immediate_Needs,Duration_Days,Estimated_Cost_Maloti
Drought,Mafeteng,Low,1360,5490,0,Food & Water Relief,300,8403647.848965568
Drought,Mokhotlong,Low,37694,5678,0,Food & Water Relief,300,98420562.09617984
Drought,Mohale's Hoek,Low,1269,7049,0,Food & Water Relief,120,6394054.273342665
Heavy Rainfall,Mohale's Hoek,Moderate,6896,8766,1082,Infrastructure & Relief,175,60446796.287979834
Heavy Rainfall,Leribe,Moderate,2399,7834,243,Infrastructure & Relief,167,14824184.472943846
Heavy Rainfall,Mafeteng,Moderate,9292,8533,776,Infrastructure & Relief,172,50998788.76798572
Strong Winds,Qacha's Nek,Moderate,45474,8326,205,Shelter,2,38246809.29405948
Heavy Rainfall,Mohale's Hoek,Moderate,44073,3943,309,Infrastructure & Relief,14,46362239.23620427
Drought,Qacha's Nek,Low,40897,9567,0,Food & Water Relief,330,196440882.43312937
Strong Winds,Butha-Buthe,Moderate,17762,9368,791,Relief Supplies,41,72818362.61429936
Strong Winds,Berea,Moderate,49484,8106,520,Shelter,139,27898971.844857965
Drought,Berea,Low,33659,5992,0,Food & Water Relief,270,108774791.97894073
Strong Winds,Qacha's Nek,Low,13567,3204,47,Medical Aid,99,9303767.464414304
Heavy Rainfall,Leribe,Severe,5556,8210,642,Infrastructure & Relief,137,54116500.43152526
Drought,Thaba-Tseka,Low,23919,1584,0,Food & Water Relief,150,23172267.456993077
Strong Winds,Mafeteng,Moderate,18641,7674,230,Shelter,13,25819107.71013579
Drought,Leribe,Low,22799,9889,0,Food & Water Relief,330,58371537.0163156
Heavy Rainfall,Thaba-Tseka,Severe,10730,5692,230,Infrastructure & Relief,3,23781025.307664752
Drought,Mohale's Hoek,Low,22459,5630,0,Food & Water Relief,330,78332438.0970719
Heavy Rainfall,Qacha's Nek,Severe,35266,8094,373,Infrastructure & Relief,52,41849895.764311045
Heavy Rainfall,Mokhotlong,Moderate,44917,7654,112,Infrastructure & Relief,54,45260986.53674501
Drought,Maseru,Low,39123,7492,0,Food & Water Relief,90,31922337.268130414
Heavy Rainfall,Mohale's Hoek,Severe,22419,5031,438,Infrastructure & Relief,116,43696653.143171474
Heavy Rainfall,Mohale's Hoek,Severe,24009,2030,239,Infrastructure & Relief,3,34651819.84327902
Drought,Mafeteng,Low,7046,9661,0,Food & Water Relief,150,21700309.233767606
Drought,Mafeteng,Low,9180,3076,0,Food & Water Relief,300,29094957.642951533
Strong Winds,Quthing,Moderate,39884,5634,297,Medical Aid,112,21022920.119249716
Strong Winds,Mafeteng,Moderate,12335,2149,128,Relief Supplies,9,16067084.842404636
Strong Winds,Leribe,Moderate,43142,2355,130,Relief Supplies,75,14609041.367463995
Strong Winds,Qacha's Nek,Low,6039,9737,103,Relief Supplies,99,19618072.40826807
Strong Winds,Butha-Buthe,Moderate,47475,5073,337,Relief Supplies,169,33439615.183659364
Strong Winds,Mafeteng,Moderate,23828,4593,276,Medical Aid,176,23716216.736762777
Drought,Leribe,Low,46025,3546,0,Food & Water Relief,240,89549208.76686348
Strong Winds,Leribe,Moderate,11177,5995,282,Medical Aid,28,32192502.496048316
Drought,Berea,Low,29624,8096,0,Food & Water Relief,150,56638195.463206604
Strong Winds,Maseru,Low,44025,1160,23,Shelter,99,6108100.919430282
Strong Winds,Mafeteng,Low,690,1080,31,Medical Aid,18,4002585.130400422
Strong Winds,Thaba-Tseka,Low,23593,669,45,Relief Supplies,127,4273464.342033759
Drought,Thaba-Tseka,Low,34677,884,0,Food & Water Relief,300,119784033.05647688
Drought,Thaba-Tseka,Low,19690,637,0,Food & Water Relief,150,23922260.96637337
Heavy Rainfall,Mokhotlong,Moderate,24876,4880,19,Infrastructure & Relief,143,21576496.56571793
Heavy Rainfall,Butha-Buthe,Moderate,11466,953,50,Infrastructure & Relief,86,11070825.913095929
Strong Winds,Mafeteng,Low,5277,3954,53,Medical Aid,53,14020666.547603937
Strong Winds,Mokhotlong,Moderate,22199,4969,364,Relief Supplies,52,32559141.738558028
Strong Winds,Butha-Buthe,Moderate,17519,1793,146,Shelter,58,10515755.678961447
Drought,Thaba-Tseka,Low,25816,8408,0,Food & Water Relief,270,74095981.7570063
Strong Winds,Thaba-Tseka,Low,29805,612,46,Relief Supplies,89,1919378.7725665323
Strong Winds,Maseru,Moderate,46452,3443,188,Medical Aid,93,18202999.509468712
Drought,Leribe,Low,20031,4349,0,Food & Water Relief,150,38405116.580440536
Heavy Rainfall,Maseru,Severe,44578,2241,237,Infrastructure & Relief,85,45621916.65790137
Drought,Mafeteng,Low,37720,5981,0,Food & Water Relief,240,101966261.63723497
Drought,Thaba-Tseka,Low,23789,2589,0,Food & Water Relief,90,25083219.7889636
Drought,Butha-Buthe,Low,29668,9187,0,Food & Water Relief,180,63937368.97589168
Strong Winds,Berea,Low,5552,2838,100,Medical Aid,43,13048625.082634676
Strong Winds,Butha-Buthe,Low,32496,9045,34,Medical Aid,154,24199675.156501226
Heavy Rainfall,Thaba-Tseka,Moderate,11761,517,50,Infrastructure & Relief,157,11449151.399967818
Strong Winds,Maseru,Moderate,24048,8967,393,Shelter,177,55972394.80940488
Drought,Mafeteng,Low,38341,5204,0,Food & Water Relief,270,115207910.27279457
Strong Winds,Berea,Moderate,20650,5744,278,Shelter,113,24815602.786895894
Heavy Rainfall,Mafeteng,Moderate,47459,828,85,Infrastructure & Relief,147,42068599.85767366
Strong Winds,Mokhotlong,Moderate,17601,2882,51,Medical Aid,69,7066697.569385635
Drought,Quthing,Low,32167,5688,0,Food & Water Relief,180,85609371.7263932
Drought,Maseru,Low,22045,5405,0,Food & Water Relief,270,85971418.10978794
Drought,Mokhotlong,Low,9424,4430,0,Food & Water Relief,120,21174215.531754337
Heavy Rainfall,Berea,Severe,12016,1642,173,Infrastructure & Relief,5,25450423.778109245
Strong Winds,Maseru,Moderate,27462,9680,832,Relief Supplies,45,84319012.8007212
Heavy Rainfall,Leribe,Moderate,7088,3023,181,Infrastructure & Relief,173,15062048.288951544
Strong Winds,Butha-Buthe,Low,9935,3809,57,Shelter,131,16958948.20510929
Strong Winds,Quthing,Moderate,34482,1631,112,Shelter,134,8954974.403118785
Heavy Rainfall,Maseru,Severe,21059,5448,675,Infrastructure & Relief,14,72508112.05989319
Drought,Berea,Low,42856,8153,0,Food & Water Relief,150,88935392.29425952
Heavy Rainfall,Qacha's Nek,Severe,25433,7675,667,Infrastructure & Relief,60,56487396.67530726
Heavy Rainfall,Maseru,Severe,5335,3875,410,Infrastructure & Relief,157,35341504.45139159
Strong Winds,Leribe,Moderate,45945,5813,255,Shelter,56,27514385.568941448
Heavy Rainfall,Butha-Buthe,Moderate,30048,5224,118,Infrastructure & Relief,11,33690604.83242077
Strong Winds,Thaba-Tseka,Low,4658,4025,314,Medical Aid,105,13429138.712529592
Drought,Berea,Low,904,8275,0,Food & Water Relief,270,14479101.163854169
Drought,Maseru,Low,39257,1560,0,Food & Water Relief,270,129562647.19353454
