district,disaster_type,severity,season,num_households,avg_damage_level,pct_elderly,pct_children_u5,pct_disabled,avg_household_size,total_funding
Berea,Drought,Low,Winter,25,1.56,0.1,0.15,0.06,5.5,146000
Butha-Buthe,Strong Winds,Low,Summer,33,2.52,0.14,0.19,0.08,6.5,1430000
Mohale's Hoek,Drought,Low,Spring,45,1.76,0.13,0.19,0.07,6.0,320000
Mafeteng,Strong Winds,Critical,Summer,221,2.58,0.12,0.18,0.07,6.0,8064000
Quthing,Heavy Rainfall,Critical,Winter,440,2.84,0.14,0.2,0.08,7.0,17940500
Quthing,Drought,Critical,Autumn,300,1.61,0.14,0.2,0.08,7.0,2023500
Thaba-Tseka,Heavy Rainfall,Critical,Autumn,306,2.7,0.16,0.23,0.09,7.5,11047500
Mafeteng,Strong Winds,Critical,Autumn,454,2.55,0.12,0.18,0.07,6.0,16738500
Quthing,Strong Winds,Low,Winter,41,2.44,0.14,0.2,0.08,7.0,1269000
Butha-Buthe,Drought,Low,Summer,19,1.68,0.14,0.19,0.08,6.5,140000
Leribe,Strong Winds,Low,Summer,37,2.73,0.11,0.16,0.06,5.5,1557500
Qacha's Nek,Heavy Rainfall,Low,Spring,50,2.66,0.15,0.22,0.09,7.0,2254000
Mohale's Hoek,Strong Winds,Low,Summer,32,2.22,0.13,0.19,0.07,6.0,817500
Mohale's Hoek,Heavy Rainfall,Low,Winter,28,2.82,0.13,0.19,0.07,6.0,1159000
Qacha's Nek,Strong Winds,Moderate,Autumn,58,2.48,0.15,0.22,0.09,7.0,2538500
Mokhotlong,Drought,Moderate,Spring,65,1.62,0.17,0.24,0.1,8.0,481500
Leribe,Drought,Low,Spring,26,1.46,0.11,0.16,0.06,5.5,175500
Butha-Buthe,Drought,Moderate,Winter,160,1.61,0.14,0.19,0.08,6.5,1133000
Mafeteng,Strong Winds,Low,Autumn,47,2.57,0.12,0.18,0.07,6.0,1733000
Quthing,Drought,Moderate,Spring,105,1.67,0.14,0.2,0.08,7.0,755000
Mohale's Hoek,Heavy Rainfall,Critical,Summer,366,2.83,0.13,0.19,0.07,6.0,15777500
Leribe,Strong Winds,Moderate,Winter,104,2.73,0.11,0.16,0.06,5.5,3834000
Berea,Drought,Critical,Summer,412,1.61,0.1,0.15,0.06,5.5,2597000
